name,prefecture,url,kencd,beginner_pct,intermediate_pct,advanced_pct,fetched_at
サ行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S03000,10,30,40,30,2026-01-17T18:16:56
東北自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=001,10,30,40,30,2026-01-17T18:16:58
カ行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S02000,10,30,35,35,2026-01-17T18:17:01
ア行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S01000,10,30,40,30,2026-01-17T18:17:04
磐越自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=002,10,30,40,30,2026-01-17T18:17:06
道東自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=010,10,35,45,20,2026-01-17T18:17:08
札樽自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=011,10,30,40,30,2026-01-17T18:17:11
ヤ行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S08000,10,40,30,30,2026-01-17T18:17:13
北陸自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=007,10,30,40,30,2026-01-17T18:17:16
ハ行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S06000,10,30,40,30,2026-01-17T18:17:18
山形自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=014,10,30,50,20,2026-01-17T18:17:20
浜田自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=018,10,30,40,30,2026-01-17T18:17:22
マ行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S07000,10,45,40,15,2026-01-17T18:17:25
長野自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=005,10,30,50,20,2026-01-17T18:17:27
中央自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=015,10,30,40,30,2026-01-17T18:17:30
ナ行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S05000,10,42,25,33,2026-01-17T18:17:32
北海道 | グラトリしやすい,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=004018,10,40,40,20,2026-01-17T18:17:34
北海道 | 赤ちゃん歓迎,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003010,10,35,45,20,2026-01-17T18:17:37
北海道 | キャッシュレス決済,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003022,10,40,40,20,2026-01-17T18:17:39
北海道 | ゴンドラ・ロープウェイ,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003014,10,40,40,20,2026-01-17T18:17:41
北海道 | 日帰り満足,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003020,10,40,40,20,2026-01-17T18:17:44
北海道 | バック・サイドカントリー可,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=004012,10,35,45,20,2026-01-17T18:17:46
北海道 | ロングコースあり(3km以上),,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=004013,10,40,40,20,2026-01-17T18:17:49
北海道 | 荷物宅配可能,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003015,10,40,40,20,2026-01-17T18:17:51
北海道 | 屋内プレイパーク,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003011,10,30,40,30,2026-01-17T18:17:53
北海道 | 駐車場無料,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003013,10,40,40,20,2026-01-17T18:17:56
北海道 | 駅から送迎,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003016,10,35,45,20,2026-01-17T18:17:58
北海道 | ツリーラン可能,,https://surfsnow.jp/search/list/spl_area01.php?kencd=10&code%5B%5D=003009,10,35,45,20,2026-01-17T18:18:01
